Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
NVIF11B;Outros;N/A;N/A;R$ 0,89;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;0,00%;0,00%;0,00%;R$ 63.444.956,21;R$ 188,04;N/A;0,47%;1,21%;1,69%;2,72%;N/A;N/A;0
BCIA11;Títulos e Val. Mob.;R$ 197,60;902.0;R$ 0,75;0,42%;1,36%;4,03%;8,94%;0,45%;0,67%;0,74%;2,40%;1,45%;1,89%;-17,79%;R$ 190.779.251,41;R$ 112,91;1,75;0,66%;1,08%;1,76%;-16,20%;N/A;N/A;0
RFOF11;Títulos e Val. Mob.;R$ 84,00;4257.0;R$ 0,25;0,31%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,59%;-5,45%;-5,16%;-4,90%;R$ 98.319.442,69;R$ 91,19;0,92;0,25%;2,50%;2,75%;-6,06%;N/A;N/A;0
PATC11;Lajes Corporativas;R$ 93,00;11775.0;R$ 0,22;0,25%;0,93%;1,88%;3,90%;0,31%;0,31%;0,33%;1,60%;-4,55%;-4,31%;-18,27%;R$ 345.521.534,62;R$ 99,36;0,94;0,30%;0,12%;0,42%;3,89%;0,00%;N/A;5
BBFI11B;Lajes Corporativas;R$ 2.624,00;197.0;R$ 23,16;0,87%;2,92%;5,76%;11,21%;0,97%;0,96%;0,93%;4,90%;-0,93%;-0,07%;-5,29%;R$ 407.258.310,07;R$ 3.132,76;0,84;0,80%;-0,57%;0,22%;2,61%;72,20%;N/A;2
RBVO11;Outros;R$ 22,80;2727.0;R$ 0,05;0,25%;1,04%;2,57%;5,56%;0,35%;0,43%;0,46%;1,95%;-3,61%;-3,38%;-28,47%;R$ 15.005.396,71;R$ 29,09;0,78;0,33%;-3,59%;-3,27%;-1,80%;N/A;N/A;0
CXCE11B;Outros;R$ 2.390,00;13.0;R$ 20,40;0,83%;2,63%;4,87%;9,78%;0,88%;0,81%;0,81%;4,14%;2,08%;2,93%;-7,56%;R$ 147.703.455,01;R$ 2.155,69;1,11;0,94%;0,04%;0,98%;3,96%;N/A;N/A;1
ARRI11;Títulos e Val. Mob.;R$ 81,42;949.0;R$ 0,32;0,40%;1,74%;0,00%;0,00%;0,58%;0,00%;0,00%;2,41%;-4,89%;-4,51%;-20,10%;R$ 36.062.240,61;R$ 91,91;0,89;0,47%;0,06%;0,54%;-1,27%;N/A;N/A;0
MFII11;Híbrido;R$ 125,23;4394.0;R$ 1,01;0,82%;2,71%;4,99%;10,20%;0,90%;0,83%;0,85%;4,24%;8,58%;9,46%;-5,70%;R$ 287.093.222,82;R$ 114,72;1,09;0,90%;-1,16%;-0,27%;-0,41%;N/A;N/A;9
BNFS11;Outros;R$ 124,51;3366.0;R$ 0,98;0,79%;2,40%;4,39%;8,59%;0,80%;0,73%;0,72%;3,70%;0,20%;0,99%;-3,36%;R$ 67.119.672,53;R$ 95,89;1,30;1,00%;0,01%;1,01%;4,08%;N/A;N/A;18
CRFF11;Títulos e Val. Mob.;R$ 90,00;608.0;R$ 0,40;0,49%;1,20%;3,19%;5,63%;0,40%;0,53%;0,47%;2,47%;-1,22%;-0,73%;-26,85%;R$ 61.337.296,98;R$ 88,89;1,01;0,45%;1,40%;1,86%;-15,24%;N/A;N/A;0
GGRC11;Logística;R$ 131,60;26672.0;R$ 0,71;0,58%;1,72%;3,44%;6,34%;0,57%;0,57%;0,53%;3,00%;0,87%;1,46%;-9,58%;R$ 772.541.875,45;R$ 118,80;1,11;0,50%;0,11%;0,61%;2,79%;0,00%;0,00%;15
CXRI11;Híbrido;R$ 1.375,40;64.0;R$ 10,00;0,77%;2,21%;5,84%;10,68%;0,74%;0,97%;0,89%;3,27%;5,80%;6,61%;-22,65%;R$ 155.729.883,63;R$ 988,28;1,39;1,01%;-1,84%;-0,84%;-11,61%;N/A;N/A;0
FAMB11B;Lajes Corporativas;R$ 3.570,00;68.0;R$ 32,18;0,91%;3,06%;5,74%;11,32%;1,02%;0,96%;0,94%;4,95%;16,83%;17,89%;7,76%;R$ 365.821.046,35;R$ 3.490,66;1,02;0,86%;0,78%;1,65%;3,75%;0,00%;N/A;1
FLMA11;Híbrido;R$ 3,42;112140.0;R$ 0,00;0,04%;0,76%;1,74%;3,79%;0,25%;0,29%;0,32%;1,41%;-1,47%;-1,43%;-14,21%;R$ 199.759.634,39;R$ 2,89;1,18;0,27%;-0,08%;0,19%;1,56%;16,82%;N/A;1
BRCR11;Híbrido;R$ 94,91;86776.0;R$ 0,43;0,45%;1,47%;2,97%;5,90%;0,49%;0,49%;0,49%;1,99%;3,16%;3,63%;-9,98%;R$ 2.512.024.970,39;R$ 109,61;0,87;0,39%;-0,46%;-0,07%;0,52%;14,40%;7,60%;12
QAGR11;Outros;R$ 83,80;18904.0;R$ 0,25;0,29%;0,90%;0,00%;0,00%;0,30%;0,00%;0,00%;1,00%;7,02%;7,34%;-13,19%;R$ 483.346.836,69;R$ 95,90;0,87;0,26%;0,00%;0,25%;0,84%;N/A;N/A;2
UBSR11;Títulos e Val. Mob.;R$ 100,70;29477.0;R$ 0,70;0,70%;2,26%;4,91%;8,86%;0,75%;0,82%;0,74%;4,22%;10,18%;10,94%;-1,85%;R$ 665.582.567,66;R$ 97,07;1,04;0,72%;0,02%;0,74%;3,70%;N/A;N/A;0
NCHB11;Títulos e Val. Mob.;N/A;N/A;R$ 0,86;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;0,00%;0,00%;0,00%;R$ 10.814.428,69;R$ 87,92;N/A;0,58%;-4,18%;-3,63%;-6,31%;N/A;N/A;0
CEOC11;Lajes Corporativas;R$ 89,10;3109.0;R$ 0,57;0,64%;2,00%;3,75%;7,59%;0,67%;0,63%;0,63%;3,18%;14,60%;15,33%;-5,75%;R$ 178.309.525,07;R$ 98,20;0,91;0,54%;-0,08%;0,46%;1,56%;0,00%;N/A;1
FAED11;Outros;R$ 209,00;319.0;R$ 1,29;0,62%;1,87%;3,60%;7,15%;0,62%;0,60%;0,60%;3,06%;0,21%;0,83%;-21,10%;R$ 131.660.847,39;R$ 205,03;1,02;0,49%;0,02%;0,51%;2,08%;0,00%;N/A;3
TORD11;Outros;R$ 11,05;8730.0;R$ 0,09;0,89%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,89%;0,00%;0,89%;0,89%;R$ 30.243.702,59;R$ 9,93;1,11;1,12%;1,49%;2,62%;2,62%;N/A;N/A;0
HCTR11;Outros;R$ 120,00;30798.0;R$ 1,11;0,93%;2,99%;6,74%;0,00%;1,00%;1,12%;0,00%;5,77%;1,43%;2,37%;-2,19%;R$ 219.054.748,14;R$ 113,86;1,05;0,83%;3,86%;4,72%;4,23%;N/A;N/A;0
MGFF11;Títulos e Val. Mob.;R$ 97,16;37396.0;R$ 0,60;0,62%;2,00%;3,93%;8,06%;0,67%;0,65%;0,67%;3,27%;9,79%;10,46%;-12,67%;R$ 649.263.814,04;R$ 82,73;1,17;0,73%;-15,55%;-14,93%;-18,21%;N/A;N/A;0
FEXC11;Títulos e Val. Mob.;R$ 108,60;1765.0;R$ 0,80;0,74%;2,62%;4,44%;8,06%;0,87%;0,74%;0,67%;3,88%;4,95%;5,72%;2,16%;R$ 241.336.084,43;R$ 98,77;1,10;0,86%;-0,85%;0,01%;0,63%;N/A;N/A;0
BCFF11;Títulos e Val. Mob.;R$ 91,83;80127.0;R$ 0,40;0,44%;1,41%;3,02%;6,48%;0,47%;0,50%;0,54%;2,51%;6,97%;7,43%;-6,93%;R$ 1.665.387.161,30;R$ 80,99;1,13;0,49%;-11,67%;-11,24%;-12,64%;N/A;N/A;0
BTCR11;Títulos e Val. Mob.;R$ 93,43;51403.0;R$ 0,42;0,45%;1,38%;3,13%;6,61%;0,46%;0,52%;0,55%;2,59%;13,45%;13,96%;-5,17%;R$ 467.531.192,75;R$ 97,20;0,96;0,41%;0,04%;0,46%;0,79%;N/A;N/A;0
RBRP11;Outros;R$ 86,90;35296.0;R$ 0,42;0,48%;1,48%;2,85%;0,00%;0,49%;0,47%;0,00%;2,59%;12,35%;12,89%;-2,25%;R$ 716.187.571,39;R$ 83,74;1,04;0,48%;0,66%;1,15%;0,46%;N/A;N/A;12
RECT11;Híbrido;R$ 98,99;45761.0;R$ 0,81;0,82%;2,57%;4,84%;10,06%;0,86%;0,81%;0,84%;4,16%;9,87%;10,77%;-0,41%;R$ 534.482.688,44;R$ 98,37;1,01;0,82%;-0,01%;0,81%;2,10%;10,00%;N/A;6
THRA11;Lajes Corporativas;R$ 131,49;208.0;R$ 0,79;0,60%;1,36%;2,70%;5,24%;0,45%;0,45%;0,44%;2,22%;0,37%;0,97%;-10,40%;R$ 175.354.057,26;R$ 119,07;1,10;0,39%;-0,16%;0,23%;1,25%;0,00%;N/A;1
MBRF11;Outros;R$ 1.285,00;76.0;R$ 9,00;0,72%;2,24%;4,19%;8,30%;0,75%;0,70%;0,69%;3,57%;3,04%;3,78%;-0,97%;R$ 130.577.539,15;R$ 1.284,40;1,00;0,66%;0,05%;0,72%;2,85%;0,00%;N/A;2
ONEF11;Lajes Corporativas;R$ 145,70;682.0;R$ 0,62;0,42%;1,29%;2,41%;4,93%;0,43%;0,40%;0,41%;2,04%;2,42%;2,86%;-9,99%;R$ 140.530.379,39;R$ 154,26;0,94;0,40%;0,03%;0,44%;1,62%;10,30%;N/A;1
DRIT11B;Lajes Corporativas;R$ 123,05;147.0;R$ 0,30;0,24%;0,86%;2,05%;4,11%;0,29%;0,34%;0,34%;1,76%;0,69%;0,93%;-19,78%;R$ 60.068.686,25;R$ 129,66;0,95;0,23%;0,33%;0,56%;0,46%;6,30%;N/A;6
CVBI11;Títulos e Val. Mob.;R$ 94,50;7371.0;R$ 0,50;0,53%;1,92%;4,23%;0,00%;0,64%;0,70%;0,00%;3,51%;9,90%;10,48%;-6,40%;R$ 353.738.777,68;R$ 100,30;0,94;0,55%;0,14%;0,69%;3,05%;N/A;N/A;0
RVBI11;;R$ 84,38;4117.0;R$ 0,34;0,40%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;0,93%;1,34%;-14,68%;R$ 130.940.749,81;R$ 90,93;0,93;0,36%;2,51%;2,88%;-4,96%;N/A;N/A;0
