Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
KNRI11;Híbrido;R$ 170,50;37897.0;R$ 0,65;0,38%;1,21%;2,42%;5,17%;0,40%;0,40%;0,43%;2,05%;8,43%;8,84%;-3,13%;R$ 3.761.793.559,56;R$ 159,39;1,07;0,41%;0,05%;0,46%;7,61%;5,58%;8,30%;19
HSML11;Shoppings;R$ 92,40;39931.0;R$ 0,18;0,22%;0,74%;2,28%;0,00%;0,25%;0,38%;0,00%;1,76%;-0,36%;-0,14%;-30,60%;R$ 1.515.490.950,74;R$ 96,03;0,96;0,23%;-0,01%;0,22%;1,43%;4,90%;N/A;5
XPCI11;Outros;R$ 94,12;7075.0;R$ 0,54;0,64%;2,07%;0,00%;0,00%;0,69%;0,00%;0,00%;3,31%;0,25%;0,89%;-16,15%;R$ 628.279.636,86;R$ 95,67;0,98;0,60%;0,91%;1,51%;0,70%;N/A;N/A;0
MXRF11;Híbrido;R$ 10,98;898932.0;R$ 0,07;0,65%;2,12%;4,53%;8,76%;0,71%;0,76%;0,73%;3,61%;6,91%;7,60%;-3,88%;R$ 1.260.207.319,46;R$ 10,25;1,07;0,68%;-0,74%;-0,06%;4,03%;N/A;N/A;0
FPAB11;Lajes Corporativas;R$ 331,00;85.0;R$ 1,70;0,53%;1,51%;2,94%;5,93%;0,50%;0,49%;0,49%;2,36%;-0,40%;0,12%;-19,27%;R$ 310.441.903,16;R$ 413,92;0,80;0,40%;-0,10%;0,30%;1,77%;21,59%;N/A;1
RBCO11;Lajes Corporativas;R$ 84,80;4196.0;R$ 0,37;0,43%;1,00%;3,51%;0,00%;0,33%;0,58%;0,00%;3,51%;-2,29%;-1,86%;-38,59%;R$ 386.945.053,16;R$ 102,39;0,83;0,46%;-0,10%;0,36%;-5,19%;34,00%;10,00%;3
VINO11;Lajes Corporativas;R$ 59,00;42841.0;R$ 0,35;0,68%;2,06%;0,00%;0,00%;0,69%;0,00%;0,00%;3,17%;2,88%;3,58%;-19,93%;R$ 604.739.252,48;R$ 60,82;0,97;0,58%;0,23%;0,81%;1,53%;0,70%;N/A;7
VISC11;Shoppings;R$ 110,08;45550.0;R$ 0,23;0,23%;0,81%;2,32%;5,90%;0,27%;0,39%;0,49%;1,77%;1,48%;1,71%;-26,02%;R$ 1.736.257.322,06;R$ 121,66;0,90;0,22%;-0,25%;-0,03%;1,53%;6,30%;N/A;13
HGRU11;Híbrido;R$ 128,10;45932.0;R$ 0,68;0,59%;1,80%;3,39%;6,92%;0,60%;0,57%;0,58%;2,84%;0,49%;1,08%;-9,46%;R$ 1.049.185.035,21;R$ 107,71;1,19;0,63%;0,28%;0,92%;1,98%;0,00%;0,00%;14
HGRE11;Lajes Corporativas;R$ 150,40;33082.0;R$ 0,57;0,39%;1,21%;2,55%;5,28%;0,40%;0,42%;0,44%;2,00%;-1,10%;-0,71%;-25,56%;R$ 1.762.927.657,31;R$ 163,05;0,92;0,35%;0,02%;0,37%;1,21%;21,62%;20,96%;22
